16	347	"collect change if any"
10	63	"insert money into machine"
0	63	"take out required money"
15	16800	"identify desired product"
5	16800	"take the product from the machine"
2420	31700000	"decide what you want to buy"
1460	55800	"put in coin"
0	55800	"obtain change (if necessary)"
6230	105000	"collect change"
291000	332000000	"decide what you want"
0	259000000	"select that item on the screen"
77200	794000	"count money"
246	313	"walk towards machine"
0	53900000	"put correct money in slot"
6620	8200000	"get your change"
41800	394000	"buy machine"
0	394000	"insert the right money"
0	394000	"watch item fall"
0	394000	"identify price of product"
1260	60200	"grabbing the item"
20	5770	"put coins in slot"
1180000	7140000	"get item"
0	7140000	"put change in machine"
711	264000	"recieving your change"
0	3660000	"see how much item costs"
10	3660000	"press the button for the product"
6580	196000	"insert money"
0	196000	"take item from machine"
1750	13200	"locate coins"
3260000	5650000	"push the button"
9180	574000	"consume the product"
25600	319000	"choose item"
0		"decide on what item you want to puchase"
26	775	"press desired selection"
4250000	10900000	"press the button"
4120	198000	"choose goods"
207000	765000	"press code"
19	19900	"locate vending machine"
10	19900	"wait for product to drop"
18	29500	"put money in machine"
2010	2480000	"go to a vending machine"
0	2480000	"place money in vending machine"
137000	7290000	"select item"
0	7290000	"insert funds into vending machine for desired item"
38300	49900000	"pick up your item"
0	11300000	"open slot to remove item  enjoy"
421000	5730000	"select a product"
0	5730000	"depress button indicating desired item"
32	3150	"identify vending machine"
16	55	"select correct product code"
0	1410000	"get item from dispenser"
10700	8870000	"pick up product"
0	8870000	"internally choose product"
332000	2590000	"get product"
0	30500000	"select object to be bought"
11	269000	"select item to buy"
0	269000	"wait for goods to drop"
551	11200000	"select item you want"
0	42300000	"push button retrieve item bought"
4610000	11000000	"take money"
1240	3500000	"putting in a dollar"
0	1650000	"select an item by pushing it s button"
896	11600	"choose vendindg machine"
3760	170000	"take out goods"
5	170000	"put coins into machine"
369000	10300000	"put money in"
8730	851000	"find vending machine"
0	851000	"obtain purchased item"
0	851000	"change paper money into coin"
121	106000	"press selection button"
107000	5140000	"make selection"
0	5140000	"put in correct amount of money"
296000	913000	"find change"
11100	229000	"press selection"
25800	990000	"find machine"
14300000	47600000	"push button"
21	2480	"put money in vending machine"
0	2480	"determine item to purchase"
5	2480	"retrieve product from vending machine"
61000	296000	"press number"
28300	2130000	"look for money"
5	2130000	"insert correct amount of change"
1470	370000	"approach machine"
81100	2360000	"pick up item"
217000	518000000	"choose what you want"
14300000	36200000	"get money"
6490	38600000	"put in the money"
436000	12000000	"select product"
6660	232000	"insert change"
0	232000	"choose the product you wish to have"
26200	573000	"recieve item"
57600	5350000	"enter product code"
11900	891000	"look at code"
0	17800000	"reach into flap"
2500	36600	"aquire change"
12	3830	"determine desired product"
0	3830	"locate necessary funds to purchase item"
340000	73800000	"remove item"
80000	424000	"feel thirst"
77400	4770000	"choose product"
150	7970000	"take out your item"
0	27100000	"listen for item to drop"
0	170000000	"place correct amount of money in machine"
11200000	2220000000	"done"
26	88400	"take money from pocket"
0	88400	"make selection by pressing appropriate buttons"
17100	468000	"put in money"
26	468000	"remove item from tray"
0	653	"put money into vending machine"
26100	129000	"take change"
19400	377000	"type in code"
18300	917000	"retrieve product"
0	3640000	"open door and grab item"
1040	21400	"retreive selection"
42	223000	"place money in the machine"
522	23500	"go to vending machine"
5	23500	"take your change if any"
0	23500	"selecting what food/drink you want"
217000	18700000	"press button"
2900	650000	"select desired item"
172000	358000	"insert coins"
16	347	"collect change if any"
10	63	"insert money into machine"
0	63	"take out required money"
15	16800	"identify desired product"
5	16800	"take the product from the machine"
2420	31700000	"decide what you want to buy"
1460	55800	"put in coin"
0	55800	"obtain change (if necessary)"
6230	105000	"collect change"
291000	332000000	"decide what you want"
0	259000000	"select that item on the screen"
77200	794000	"count money"
246	313	"walk towards machine"
0	53900000	"put correct money in slot"
6620	8200000	"get your change"
41800	394000	"buy machine"
0	394000	"insert the right money"
0	394000	"watch item fall"
0	394000	"identify price of product"
1260	60200	"grabbing the item"
20	5770	"put coins in slot"
1180000	7140000	"get item"
0	7140000	"put change in machine"
711	264000	"recieving your change"
0	3660000	"see how much item costs"
10	3660000	"press the button for the product"
6580	196000	"insert money"
0	196000	"take item from machine"
1750	13200	"locate coins"
3260000	5650000	"push the button"
9180	574000	"consume the product"
25600	319000	"choose item"
